2021 Aug 06 08:28:58
                     Time,      [CH4]_ppm,   [CH4]_ppm_se,      [H2O]_ppm,   [H2O]_ppm_se,      [CO2]_ppm,   [CO2]_ppm_se,      GasP_torr,   GasP_torr_se,         GasT_C,      GasT_C_se,         AmbT_C,      AmbT_C_se,         RD0_us,      RD0_us_se,         RD1_us,      RD1_us_se,       Fit_Flag
    08/06/21 08:29:38.687,    2.13227e+00,    0.00000e+00,    1.58800e+04,    0.00000e+00,    4.33283e+02,    0.00000e+00,    1.40367e+02,    0.00000e+00,    2.23372e+01,    0.00000e+00,    1.96065e+02,    0.00000e+00,    9.61208e+00,    0.00000e+00,    8.38987e+00,    0.00000e+00,              3
    08/06/21 08:29:48.540,    2.13082e+00,    5.39371e-04,    1.60011e+04,    2.84939e+01,    4.32480e+02,    1.14450e-01,    1.40373e+02,    2.73049e-03,    2.23403e+01,    8.90387e-04,    1.96022e+02,    1.16607e-02,    9.61887e+00,    1.18200e-03,    8.39120e+00,    1.40552e-03,              3
    08/06/21 08:29:58.367,    2.13055e+00,    5.00069e-04,    1.62787e+04,    1.77102e+01,    4.31685e+02,    1.64647e-01,    1.40389e+02,    1.89213e-03,    2.23417e+01,    6.05578e-04,    1.95992e+02,    8.80803e-03,    9.61664e+00,    8.91160e-04,    8.39016e+00,    1.64194e-03,              3
    08/06/21 08:30:08.194,    2.13140e+00,    5.50283e-04,    1.64016e+04,    1.44167e+01,    4.32091e+02,    2.21386e-01,    1.40395e+02,    2.65767e-03,    2.23478e+01,    4.70743e-04,    1.95900e+02,    8.54647e-03,    9.61709e+00,    1.77571e-03,    8.39081e+00,    1.45588e-03,              3
    08/06/21 08:30:18.039,    2.13108e+00,    4.42205e-04,    1.64866e+04,    1.05392e+01,    4.33605e+02,    2.49243e-01,    1.40393e+02,    2.35009e-03,    2.23549e+01,    8.16739e-04,    1.95803e+02,    1.12790e-02,    9.61954e+00,    1.45188e-03,    8.39008e+00,    1.02971e-03,              3
    08/06/21 08:30:27.889,    2.13324e+00,    7.62020e-04,    1.65714e+04,    1.48926e+01,    4.38063e+02,    3.22044e-01,    1.40391e+02,    3.54797e-03,    2.23623e+01,    7.52275e-04,    1.95703e+02,    9.31386e-03,    9.61836e+00,    1.06399e-03,    8.39201e+00,    1.40371e-03,              3
    08/06/21 08:30:37.720,    2.13428e+00,    4.12159e-04,    1.66746e+04,    1.02424e+01,    4.40369e+02,    3.73815e-01,    1.40397e+02,    1.83762e-03,    2.23666e+01,    5.46191e-04,    1.95640e+02,    1.01985e-02,    9.61961e+00,    8.75941e-04,    8.39166e+00,    1.08286e-03,              3
    08/06/21 08:30:47.550,    2.13357e+00,    4.20722e-04,    1.67523e+04,    1.11892e+01,    4.48390e+02,    5.56157e-01,    1.40401e+02,    1.65624e-03,    2.23746e+01,    7.50950e-04,    1.95535e+02,    1.21661e-02,    9.61923e+00,    9.78877e-04,    8.38683e+00,    5.67685e-04,              3
    08/06/21 08:30:57.406,    2.13346e+00,    5.99028e-04,    1.68415e+04,    1.14192e+01,    4.48546e+02,    2.62038e-01,    1.40403e+02,    3.24506e-03,    2.23818e+01,    1.22225e-03,    1.95435e+02,    1.39328e-02,    9.61901e+00,    1.21304e-03,    8.38985e+00,    1.56220e-03,              3
    08/06/21 08:31:07.239,    2.13276e+00,    5.58481e-04,    1.68894e+04,    1.12292e+01,    4.45634e+02,    1.94598e-01,    1.40380e+02,    2.12256e-03,    2.23974e+01,    8.04864e-04,    1.95223e+02,    1.08823e-02,    9.62050e+00,    9.86503e-04,    8.39020e+00,    6.60479e-04,              3
